,,0
45,9,0.48193505
45,10,0.7056948000000001
45,11,0.6294433
45,12,0.67356366
45,13,0.8938534
45,14,0.86996174
45,15,0.79932857
46,0,0.7623641
46,1,0.5911613
46,2,0.45035976
46,3,0.755549
46,4,0.6831594
46,5,0.6259965999999999
46,6,0.5199027
46,7,0.8292743
46,8,0.8524425999999999
46,9,0.72045285
46,10,0.6586685
46,11,0.7282843000000001
46,12,0.5369550000000001
46,13,0.8589479999999999
46,14,0.79790854
46,15,0.6842183000000001
47,0,0.92084205
47,1,0.861139
47,2,0.5613321
47,3,0.7663145
47,4,0.7850608
47,5,0.91483593
47,6,0.80626667
47,7,1.0109363
47,8,0.95806164
47,9,0.33116516
47,10,0.82260895
47,11,0.7743638
47,12,0.794141
47,13,0.96150917
47,14,0.94900167
47,15,0.88612616
48,0,0.69808954
48,1,0.53402996
48,2,0.4298653
48,3,0.5864146
48,4,0.48626956
48,5,0.63668835
48,6,0.5754571999999999
48,7,0.70953226
48,8,0.7401472
48,9,0.27015892
48,10,0.45400763
48,11,0.44962440000000004
48,12,0.49181679999999994
48,13,0.7437998
48,14,0.7803519
48,15,0.69029117
49,0,0.46623149999999997
49,1,0.49115020000000004
49,2,0.30120707
49,3,0.37638268
49,4,0.50974697
49,5,0.43788530000000003
49,6,0.40378225
49,7,0.5840723000000001
49,8,0.4348901
49,9,0.14832951
49,10,0.54083055
49,11,0.49728447
49,12,0.42641875
49,13,0.51941955
49,14,0.37099728
49,15,0.4368747
50,0,0.81212187
50,1,0.54512686
50,2,0.35089576
50,3,0.6716025
50,4,0.6569583999999999
50,5,0.8312705
50,6,0.3262985
50,7,0.8231573
50,8,0.82346445
50,9,0.6261824
50,10,0.51255476
50,11,0.41100538
50,12,0.49934876
50,13,0.82883537
50,14,0.8374529000000001
50,15,0.75344205
51,0,0.8406611999999999
51,1,0.75632113
51,2,0.5767002
51,3,0.6902503000000001
51,4,0.75750315
51,5,0.86071235
51,6,0.75983095
51,7,0.91265845
51,8,0.8612811
51,9,0.27875233
51,10,0.7519543000000001
51,11,0.7964123000000001
51,12,0.69965935
51,13,0.8784011999999999
51,14,0.8234021
51,15,0.78312045
52,0,0.60857683
52,1,0.4677433
52,2,0.2916086
52,3,0.49929953
52,4,0.6507599000000001
52,5,0.63780564
52,6,0.37925866
52,7,0.6756933
52,8,0.656183
52,9,0.55363774
52,10,0.5498986
52,11,0.44929236
52,12,0.5057090999999999
